Symbol,CompanyName
SOLARINDS,Solar Industries India Limited
SONACOMS,Sona BLW Precision Forgings Limited
SRF,SRF Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
SUPREMEIND,The Supreme Industries Limited
SUZLON,Suzlon Energy Limited
SWIGGY,SWIGGY LIMITED
TATACONSUM,Tata Consumer Products Limited
TATAELXSI,Tata Elxsi Limited
TATAPOWER,The Tata Power Company Limited
TATASTEEL,Tata Steel Limited
TCS,Tata Consultancy Services Limited
TECHM,Tech Mahindra Limited
TIINDIA,Tube Investments of India Limited
TITAN,Titan Company Limited
TMPV,Tata Motors Passenger Vehicles Limited
TORNTPHARM,Torrent Pharmaceuticals Limited
TRENT,Trent Limited
TVSMOTOR,TVS Motor Company Limited
ULTRACEMCO,UltraTech Cement Limited
UNIONBANK,Union Bank of India
UNITDSPR,UNITED SPIRITS LIMITED
UNOMINDA,Uno Minda Limited
UPL,UPL Limited
VBL,Varun Beverages Limited
VEDL,Vedanta Limited
VMM,VISHAL MEGA MART LIMITED
VOLTAS,Voltas Limited
WAAREEENER,WAAREE ENERGIES LIMITED
WIPRO,Wipro Limited
YESBANK,Yes Bank Limited
ZYDUSLIFE,Zydus Lifesciences Limited
